45_d500_100_0_badger_2020-02-01,45_d500_124_0_badger_2012-07-01,45_d500_124_1_badger_2011-10-01,45_d500_152_0_badger_2008-03-01,45_d500_152_1_badger_2008-10-01,45_d500_156_0_badger_2015-11-01,45_d500_159_855_0_badger_2018-07-01,45_d500_159_855_1_badger_2020-02-01,45_d500_160_0_badger_2009-03-01,45_d500_162_0_badger_2016-02-01,45_d500_168_0_badger_2012-09-01,45_d500_168_1_badger_2015-06-01,45_d500_168_2_badger_2014-04-01,45_d500_169_0_badger_2015-07-01,45_d500_171_0_badger_2012-04-01,45_d500_175_0_badger_2011-03-01,45_d500_175_1_badger_2020-02-01,45_d500_176_0_badger_2013-09-01,45_d500_176_1_badger_2020-02-01,45_d500_177_0_badger_2012-08-01,45_d500_178_0_badger_2014-09-01,45_d500_178_1_badger_2014-06-01,45_d500_180_0_badger_2014-10-01,45_d500_180_1_badger_2018-11-01,45_d500_180_2_badger_2012-11-01,45_d500_180_3_badger_2017-06-01,45_d500_33_0_badger_2019-01-01,45_d500_33_1_badger_2019-08-01,45_d500_33_2_badger_2020-02-01,45_d500_37_586_0_badger_2018-09-01,45_d500_57_687_0_badger_2013-12-01,45_d500_59_0_badger_2020-02-01,45_d500_91_0_badger_2020-02-01,45_d500_91_1_badger_2020-02-01,45_d500_91_2_badger_2018-08-01,45_d500_99_766_0_badger_2011-10-01,45_d500_99_766_1_badger_2010-03-01,45_d500_99_766_2_badger_2010-11-01,45_d500_99_766_3_badger_2012-05-01,45_d500_99_766_4_badger_2010-05-01,45_d500_99_766_5_badger_2014-07-01,45_d500_99_766_6_badger_2016-08-01,45_d500_99_766_7_badger_2015-06-01,45_d500_99_766_8_badger_2014-03-01,45_d500_99_839_1_badger_2007-08-01,45_d500_99_839_2_badger_2016-09-01,49_d500_10_0_badger_2018-03-01,49_d500_10_1_badger_2020-02-01,49_d500_10_2_badger_2020-02-01,49_d500_10_3_badger_2019-05-01,49_d500_9_1545_0_badger_2017-10-01,64075028_0_cattle_2018-12-01,64075028_1_cattle_2019-01-01,64075_1_boar_2020-02-01,64075_3_boar_2020-02-01,64172002_0_cattle_2020-02-01,64201002_0_cattle_2013-07-01,64201014_0_cattle_2012-05-01,64201014_1_cattle_2012-05-01,64201014_2_cattle_2012-02-01,64201021_0_cattle_2012-05-01,64201021_1_cattle_2012-07-01,64201021_2_cattle_2012-05-01,64281001_0_cattle_2009-03-01,64281001_1_cattle_2009-03-01,64281001_2_cattle_2009-05-01,64281001_3_cattle_2009-05-01,64281001_4_cattle_2009-03-01,64281001_5_cattle_2009-05-01,64281001_6_cattle_2014-04-01,64281001_7_cattle_2014-06-01,64281001_8_cattle_2014-04-01,64281003_0_cattle_2010-10-01,64281003_10_cattle_2010-11-01,64281003_11_cattle_2010-11-01,64281003_12_cattle_2010-11-01,64281003_13_cattle_2012-12-01,64281003_14_cattle_2016-02-01,64281003_15_cattle_2016-02-01,64281003_16_cattle_2016-02-01,64281003_17_cattle_2016-06-01,64281003_18_cattle_2016-02-01,64281003_1_cattle_2010-11-01,64281003_2_cattle_2010-11-01,64281003_3_cattle_2010-11-01,64281003_4_cattle_2010-08-01,64281003_5_cattle_2010-11-01,64281003_6_cattle_2010-11-01,64281003_7_cattle_2010-11-01,64281003_8_cattle_2010-11-01,64281003_9_cattle_2010-11-01,64281_0_boar_2009-11-01,64281_1_boar_2010-10-01,64281_2_boar_2015-11-01,64312028_0_cattle_2020-02-01,64312028_1_cattle_2020-02-01,64349001_0_cattle_2019-06-01,64349001_10_cattle_2019-07-01,64349001_11_cattle_2020-02-01,64349001_12_cattle_2019-12-01,64349001_13_cattle_2019-09-01,64349001_1_cattle_2019-06-01,64349001_2_cattle_2019-06-01,64349001_3_cattle_2019-06-01,64349001_4_cattle_2019-03-01,64349001_5_cattle_2019-06-01,64349001_6_cattle_2019-06-01,64349001_7_cattle_2019-09-01,64349001_8_cattle_2019-09-01,64349001_9_cattle_2019-09-01,64349013_0_cattle_2018-06-01,64349013_1_cattle_2018-02-01,64349021_0_cattle_2020-02-01,64349021_1_cattle_2020-02-01,64349068_0_cattle_2015-07-01,64349068_1_cattle_2015-07-01,64349068_2_cattle_2015-07-01,64349068_3_cattle_2015-06-01,64349068_4_cattle_2015-07-01,64349_0_boar_2013-09-01,64349_10_boar_2016-11-01,64349_11_boar_2015-03-01,64349_12_boar_2020-02-01,64349_13_boar_2016-09-01,64349_14_boar_2019-04-01,64349_15_boar_2018-01-01,64349_16_boar_2017-09-01,64349_17_boar_2015-12-01,64349_18_boar_2016-08-01,64349_1_boar_2017-04-01,64349_20_boar_2019-03-01,64349_21_boar_2018-02-01,64349_22_boar_2019-05-01,64349_23_boar_2019-08-01,64349_24_boar_2020-02-01,64349_25_boar_2019-02-01,64349_26_boar_2018-09-01,64349_27_boar_2019-11-01,64349_28_boar_2019-11-01,64349_29_boar_2020-02-01,64349_2_boar_2015-05-01,64349_30_boar_2019-01-01,64349_31_boar_2020-02-01,64349_32_boar_2019-10-01,64349_33_boar_2020-02-01,64349_34_boar_2020-02-01,64349_35_boar_2020-02-01,64349_36_boar_2020-02-01,64349_37_boar_2019-10-01,64349_38_boar_2020-02-01,64349_39_boar_2020-02-01,64349_3_boar_2014-05-01,64349_40_boar_2020-02-01,64349_41_boar_2020-02-01,64349_42_boar_2020-02-01,64349_43_boar_2019-07-01,64349_44_boar_2019-09-01,64349_45_boar_2020-02-01,64349_47_boar_2020-02-01,64349_4_boar_2015-01-01,64349_5_boar_2014-10-01,64349_6_boar_2016-02-01,64349_7_boar_2014-08-01,64349_8_boar_2015-07-01,64349_9_boar_2016-06-01,64359001_0_cattle_2020-02-01,64359001_1_cattle_2020-02-01,64359005_0_cattle_2020-02-01,64359008_0_cattle_2018-05-01,64359008_1_cattle_2018-03-01,64359008_2_cattle_2018-03-01,64359008_3_cattle_2018-03-01,64359008_4_cattle_2018-03-01,64359008_5_cattle_2018-03-01,64359008_6_cattle_2018-03-01,64359008_7_cattle_2018-03-01,64359008_8_cattle_2018-03-01,64359008_9_cattle_2018-05-01,64359015_0_cattle_2016-02-01,64359015_1_cattle_2018-03-01,64359023_0_cattle_2020-02-01,64359024_0_cattle_2019-12-01,64359056_0_cattle_2018-01-01,64359061_0_cattle_2020-02-01,64359108_0_cattle_2015-11-01,64359108_1_cattle_2015-12-01,64359108_2_cattle_2018-07-01,64359108_3_cattle_2018-03-01,64359108_4_cattle_2018-01-01,64359108_5_cattle_2019-01-01,64359108_6_cattle_2019-01-01,64359110_0_cattle_2016-12-01,64359110_1_cattle_2016-12-01,64359110_2_cattle_2017-02-01,64359110_3_cattle_2017-02-01,64359110_4_cattle_2019-07-01,64359110_5_cattle_2019-12-01,64359110_6_cattle_2020-02-01,64359138_0_cattle_2019-03-01,64359142_0_cattle_2019-01-01,64359142_1_cattle_2019-01-01,64359149_0_cattle_2014-07-01,64359149_1_cattle_2018-12-01,64359149_2_cattle_2019-02-01,64359149_3_cattle_2019-02-01,64359149_4_cattle_2019-02-01,64359170_0_cattle_2020-02-01,64359173_0_cattle_2020-02-01,64359173_1_cattle_2019-03-01,64359187_0_cattle_2018-03-01,64359187_1_cattle_2018-03-01,64359187_2_cattle_2018-03-01,64359187_3_cattle_2018-03-01,64359187_4_cattle_2019-11-01,64359200_0_cattle_2020-02-01,64359204_0_cattle_2018-04-01,64359204_1_cattle_2019-02-01,64359204_2_cattle_2018-12-01,64359204_3_cattle_2018-12-01,64359204_4_cattle_2019-02-01,64359204_5_cattle_2018-12-01,64359204_6_cattle_2019-02-01,64359225_0_cattle_2019-12-01,64359_0_boar_2018-03-01,64359_10_boar_2020-02-01,64359_11_boar_2020-02-01,64359_12_boar_2020-02-01,64359_14_boar_2020-02-01,64359_15_boar_2020-02-01,64359_1_boar_2018-06-01,64359_2_boar_2017-10-01,64359_3_boar_2020-02-01,64359_4_boar_2020-02-01,64359_5_boar_2020-02-01,64359_6_boar_2020-02-01,64359_7_boar_2019-07-01,64359_8_boar_2019-03-01,64359_9_boar_2019-05-01,64393_1_boar_2017-11-01,64393_2_boar_2017-12-01,64393_4_boar_2020-02-01,64416_2_boar_2010-12-01,64416_3_boar_2014-01-01,64420009_0_cattle_2014-01-01,64420009_1_cattle_2014-01-01,64420009_2_cattle_2014-01-01,64420009_3_cattle_2014-01-01,64420009_4_cattle_2014-01-01,64420012_0_cattle_2010-12-01,64420012_10_cattle_2010-12-01,64420012_11_cattle_2010-12-01,64420012_12_cattle_2010-12-01,64420012_13_cattle_2010-12-01,64420012_14_cattle_2010-12-01,64420012_15_cattle_2010-12-01,64420012_16_cattle_2010-12-01,64420012_17_cattle_2010-12-01,64420012_18_cattle_2010-12-01,64420012_19_cattle_2010-12-01,64420012_1_cattle_2010-12-01,64420012_20_cattle_2010-12-01,64420012_21_cattle_2010-12-01,64420012_2_cattle_2010-12-01,64420012_3_cattle_2009-05-01,64420012_4_cattle_2010-12-01,64420012_5_cattle_2010-12-01,64420012_6_cattle_2010-12-01,64420012_7_cattle_2010-12-01,64420012_8_cattle_2010-11-01,64420012_9_cattle_2010-12-01,64420015_0_cattle_2007-12-01,64420028_0_cattle_2013-05-01,64420028_1_cattle_2013-05-01,64420028_2_cattle_2013-05-01,64420028_3_cattle_2013-05-01,64420028_4_cattle_2013-04-01,64420028_5_cattle_2013-07-01,64420035_0_cattle_2015-02-01,64420035_10_cattle_2014-12-01,64420035_11_cattle_2015-02-01,64420035_12_cattle_2015-02-01,64420035_13_cattle_2015-02-01,64420035_14_cattle_2015-02-01,64420035_15_cattle_2015-02-01,64420035_16_cattle_2015-02-01,64420035_17_cattle_2015-04-01,64420035_18_cattle_2015-04-01,64420035_19_cattle_2015-04-01,64420035_1_cattle_2015-02-01,64420035_20_cattle_2015-04-01,64420035_21_cattle_2015-04-01,64420035_22_cattle_2015-04-01,64420035_23_cattle_2019-02-01,64420035_2_cattle_2015-04-01,64420035_3_cattle_2015-04-01,64420035_4_cattle_2015-04-01,64420035_5_cattle_2015-02-01,64420035_6_cattle_2015-04-01,64420035_7_cattle_2015-02-01,64420035_8_cattle_2014-12-01,64420035_9_cattle_2015-02-01,64420047_0_cattle_2013-02-01,64420047_1_cattle_2013-02-01,64420047_2_cattle_2013-04-01,64449010_0_cattle_2018-12-01,64556034_0_cattle_2014-03-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01119776044791041,0.07718456308738278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003999200159968007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.0031993601279744054,0,0,0,0.010197960407918412,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,9.998000399920016e-4,0,0,9.998000399920016e-4,0,0.0031993601279744054,0,0.010197960407918412,0.33273345330933485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0.0017996400719856025,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999600079984003e-4,0.43831233753247884,0.08678264347130629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11977604479104337,0.07138572285542899,0.08418316336732701,0.04859028194361113,0.1391721655668888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09418116376724733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014197160567886403,0,0.09258148370326008,0.08298340331933657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3.999200159968006e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1541691661667693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002599480103979204,0.004199160167966408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14637072585483143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11357728454309277,0.11257748450310073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011997600479904008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08238352329534135
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1879624075185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15276944611078044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11557688462307683,0,0.0779844031193764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04639072185562874
0,0,0,0,0,0,0,0,0,0.0017996400719856025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10077984403119475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008998200359928014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061187762447510306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11817636472705612,0.05838832233553271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006398720255948813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5568886222755175
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04999000199959993,0,0,0.0015996800639872023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025,0.006198760247950412,0,0.028594281143771175,0.04919016196760633,0.00539892021595681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017996400719856025
0,0.023395320935812786,0.06758648270345927,0,0,0,0,0,0.029994001199759972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02599480103979198,0.05138972205558873,0.09538092381523777,0,0.14137172565487127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2511497700459963,0,0.027194561087782378,0.024195160967806384,0.04079184163167355,0.019196160767846394,0.011597680463907209,0,0.004199160167966408,0,0,0,0,0.03519296140771836,0.00539892021595681,0.03599280143971196,0,0,0,0.2461507698460363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045990801839632086,0,0,0,0.19876024795041394,0,0,0.4471105778844075,0,0,0,0,0,0,0,0,0.22895420915817333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.1479704059188187,0.5040991801639455,0,0,0,0,0,7.998400319936012e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015996800639872023,7.998400319936012e-4,0.005798840231953611,0,0.042791441711657545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14317136572685693,0,0,0,0,0.015996800639872,0.005598880223955211,0.004799040191961609,0,0,0,0,0,0,0,7.998400319936012e-4,1.999600079984003e-4,0.0049990001999600095,0,0,0,0.28854229154169314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017396520695860798,0,0,0.45210957808436697,0.029794041191761572,0.19656068786243147,0,0,0,0.04879024195160953,0.06958608278344333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
